age,cost_of_ad,device_type,gender,in_initial_launch_location,income,n_drivers,n_vehicles,prior_ins_tenure,outcome
46,0.004147385,Android,M,1,50664,1,1,14,0
32,0.004146631,laptop,M,0,49408,1,2,2,0
20,0.003324354,laptop,M,0,48780,2,1,1,0
60,0.004037759,Android,M,1,92361,2,3,17,1
54,0.003768924,laptop,M,0,59985,2,2,0,0
59,0.004108964,laptop,M,0,89834,2,3,5,0
44,0.004848348,other,F,1,66803,2,1,7,0
36,0.005173566,other,F,0,62244,2,1,4,0
51,0.004480185,Android,M,0,58597,1,2,10,0
41,0.004771779,other,F,0,74976,2,3,3,0
47,0.004908116,Android,F,1,65876,1,1,4,0
60,0.00491075,laptop,F,1,70379,1,1,22,0
16,0.004658376,desktop,F,1,26090,1,1,0,0
34,0.004484642,other,F,1,70127,2,2,7,0
28,0.004547173,other,F,0,61275,2,1,6,0
16,0.004606547,laptop,F,1,25738,2,3,0,0
46,0.004031798,other,M,1,61650,2,2,6,0
30,0.003795329,other,M,1,39968,2,1,6,0
18,0.004090442,desktop,M,0,52468,2,3,0,1
16,0.003783259,desktop,M,0,38187,1,2,0,0
41,0.004282383,Android,,0,72978,2,2,11,0
18,0.00644037,iPhone,F,0,24451,2,1,1,1
22,0.003513368,desktop,M,1,25677,2,1,2,1
39,0.003559984,laptop,M,1,50800,1,1,9,0
21,0.00467115,other,F,1,36216,1,3,0,0
32,0.003393862,other,M,1,42353,1,2,8,0
38,0.005379374,Android,F,1,51055,2,3,4,0
46,0.00348194,laptop,M,0,65348,2,1,9,0
58,0.005412839,laptop,F,1,90553,1,2,19,0
34,0.005517764,iPhone,,0,50425,2,3,3,0
58,0.005159574,desktop,F,0,60186,1,3,14,0
24,0.005026513,other,F,0,32661,2,2,1,0
39,0.004194233,other,M,1,61198,2,1,11,0
45,0.005240682,other,F,0,50918,1,1,5,0
16,0.004541025,other,F,1,54309,1,3,0,0
56,0.004888006,other,F,1,92792,1,1,19,0
55,0.004689777,other,F,0,62646,1,3,13,0
18,0.004633644,desktop,F,1,43470,1,2,0,0
58,0.004519053,other,M,1,84746,1,3,15,0
33,0.00568545,iPhone,M,0,48473,2,3,7,0
22,0.005188207,desktop,F,1,34439,2,3,2,0
45,0.004693569,laptop,F,0,66856,1,3,0,0
24,0.005014369,laptop,F,0,45532,1,1,1,0
54,0.005149926,iPhone,M,0,65435,1,2,8,0
17,0.005844246,iPhone,F,0,18034,2,1,0,0
19,0.004638275,laptop,F,0,50211,2,3,0,0
39,0.00369163,laptop,M,0,73173,1,2,11,0
57,0.005282401,other,F,0,89130,2,1,3,0
44,0.004715016,laptop,F,0,52270,2,1,1,0
56,0.003659178,other,M,1,84193,2,2,19,0
60,0.003938932,other,M,0,87119,1,3,7,0
45,0.004824301,Android,F,1,61704,1,2,5,0
25,0.004994589,desktop,F,1,31328,1,1,3,0
39,0.005060013,laptop,F,0,60603,1,3,8,0
42,0.003771646,desktop,M,1,62476,2,3,9,0
52,0.005387561,iPhone,M,0,88455,2,1,11,0
33,0.00460327,laptop,F,0,44823,1,2,0,0
35,0.005919585,iPhone,F,1,61265,1,2,9,0
56,0.003717409,other,M,0,78340,1,1,14,1
35,0.005023969,desktop,F,1,38261,1,3,2,1
33,0.003603167,other,M,1,60143,2,3,7,0
48,0.004147133,desktop,M,0,82533,2,2,15,0
18,0.00494735,desktop,F,0,31843,1,2,1,0
32,0.004449186,desktop,F,1,43514,1,2,6,0
50,0.004518742,desktop,F,0,78588,2,3,1,0
20,0.004489515,laptop,F,1,47373,2,3,2,0
41,0.00449813,laptop,F,0,64714,1,2,11,0
22,0.004965805,laptop,F,0,42334,2,2,3,0
30,0.003809952,laptop,,1,64773,1,1,1,0
38,0.005077272,iPhone,M,1,54775,1,3,2,0
54,0.005794446,iPhone,,0,84405,1,3,15,0
53,0.004998921,Android,F,1,57475,2,3,14,0
56,0.004021742,Android,M,1,76342,1,2,2,0
18,0.004760329,desktop,F,0,48324,2,2,1,0
18,0.003330861,Android,M,1,50857,1,3,1,0
19,0.003437744,desktop,M,1,21565,2,1,0,0
44,0.004827417,Android,F,1,62539,1,3,14,0
37,0.005048379,desktop,F,0,73566,2,3,1,0
34,0.005256746,Android,F,1,43268,1,3,9,0
35,0.005163185,Android,F,1,56527,1,1,6,0
58,0.004888866,laptop,F,0,81763,2,3,0,0
29,0.005085792,iPhone,M,1,34057,1,2,1,0
22,0.003382247,laptop,M,0,32109,2,3,3,0
60,0.004569589,desktop,M,0,75566,2,3,11,0
55,0.006015597,iPhone,M,1,75281,2,3,7,0
46,0.00398746,other,M,0,78958,2,2,12,0
26,0.005134117,Android,F,0,57495,1,3,5,0
51,0.004959319,Android,F,0,68877,1,3,5,0
48,0.005394897,iPhone,M,0,49747,1,2,11,0
41,0.004728685,desktop,F,1,42847,2,1,3,0
22,0.003978841,desktop,M,1,31095,1,1,3,0
46,0.005294963,desktop,F,1,60133,1,3,8,0
51,0.00624844,iPhone,F,1,54129,2,1,3,1
56,0.004191955,other,M,1,57077,1,1,17,0
52,0.004760564,Android,F,0,75122,1,3,0,0
42,0.004964082,laptop,F,0,76475,1,3,1,0
48,0.00373365,desktop,,0,72464,2,2,12,0
17,0.005405187,iPhone,,1,55135,2,1,0,0
37,0.005200384,laptop,F,0,48474,2,1,10,0
59,0.005126984,iPhone,M,1,88994,2,3,2,0
28,0.005269123,Android,F,0,54098,1,1,4,0
50,0.005865798,iPhone,M,1,53132,1,2,11,0
37,0.004709037,other,F,1,62339,2,1,7,0
27,0.004997081,Android,F,1,32414,2,3,2,0
21,0.003290069,laptop,M,1,27723,1,3,1,0
58,0.004931547,laptop,F,1,87091,2,2,5,0
18,0.003851184,Android,,1,22917,2,3,0,0
41,0.004444799,desktop,F,1,69716,1,3,9,0
20,0.003805095,Android,M,0,22122,2,3,2,0
59,0.00411946,other,M,1,68023,2,2,18,0
41,0.006409044,iPhone,F,1,53192,2,3,0,0
40,0.005093981,other,F,0,58715,2,2,9,0
47,0.004467262,desktop,M,0,76170,1,1,5,1
59,0.005481332,desktop,F,1,78029,2,3,17,0
26,0.004050373,desktop,M,0,41514,1,2,1,0
17,0.004235748,other,F,1,22650,2,3,0,0
41,0.00438238,other,M,1,49213,2,3,1,0
57,0.004209794,laptop,M,0,93130,2,2,4,0
27,0.004434657,desktop,F,0,46931,1,2,1,0
36,0.003634451,desktop,M,0,72099,2,2,3,1
56,0.003714194,laptop,M,1,94053,1,3,18,0
58,0.004844656,desktop,F,1,95799,1,3,1,0
29,0.003931907,other,,1,47983,1,3,4,0
35,0.00450808,Android,F,1,38926,2,1,1,0
42,0.004281485,Android,M,1,62485,1,2,2,0
36,0.003679116,Android,M,1,42958,1,2,8,0
45,0.006240212,iPhone,F,0,48316,2,2,1,0
40,0.003589834,Android,M,1,60494,1,1,11,0
26,0.004350049,other,F,1,27518,2,3,3,0
41,0.003691356,laptop,M,1,44312,1,1,0,0
54,0.005267508,desktop,F,1,71332,1,2,4,0
41,0.003772524,desktop,M,1,53756,2,1,8,1
34,0.004468663,laptop,F,0,41786,2,2,9,0
22,0.004822463,laptop,F,1,35045,2,2,1,0
41,0.006429333,iPhone,F,0,72047,1,1,12,0
25,0.006343725,iPhone,F,0,44610,2,2,4,0
48,0.005153806,other,F,1,69708,2,3,11,0
42,0.003997634,laptop,M,1,79910,1,3,4,0
19,0.006638205,iPhone,F,1,56523,2,1,0,0
23,0.0039205,Android,M,0,50063,2,1,1,1
42,0.00624505,iPhone,F,1,78758,1,3,3,0
58,0.004922327,Android,F,1,92939,2,3,14,0
38,0.006178499,iPhone,F,1,74574,2,3,4,0
35,0.003910488,other,M,1,57859,1,3,7,0
33,0.003372066,other,M,1,52035,2,1,2,0
21,0.004481133,other,F,1,56296,2,2,0,0
51,0.004560765,laptop,F,1,66889,1,1,7,0
49,0.004207358,desktop,M,0,70646,1,3,13,0
22,0.003975911,other,M,0,35071,1,1,3,1
34,0.004078687,desktop,M,1,69071,1,2,3,0
18,0.005116609,desktop,F,0,30210,1,2,1,0
34,0.003624562,laptop,M,0,55957,2,1,1,0
57,0.003732494,Android,M,1,78671,2,1,3,1
45,0.005017781,desktop,F,1,64334,1,3,12,0
28,0.003680833,other,M,0,33684,2,3,2,0
22,0.004603574,Android,F,0,39090,2,1,0,0
44,0.004093683,laptop,M,1,61141,2,2,0,0
60,0.005286074,other,F,0,86569,1,1,5,0
35,0.005307361,Android,F,0,49360,2,3,3,0
46,0.005261995,other,F,0,81226,2,2,15,0
29,0.003368103,laptop,M,0,52709,1,3,4,0
52,0.003848118,laptop,M,0,62783,1,1,4,0
49,0.004935483,laptop,F,1,82447,1,1,2,0
19,0.003652378,other,M,1,55621,2,1,0,0
35,0.00439529,desktop,F,0,39786,2,2,9,0
38,0.003788867,desktop,M,0,56814,1,3,0,0
24,0.00392273,other,M,1,29259,2,2,3,0
58,0.005108843,desktop,F,0,83759,2,3,17,0
30,0.003679276,other,M,0,64860,2,1,6,0
30,0.005832217,iPhone,F,0,37395,2,2,3,0
58,0.006673944,iPhone,F,1,64612,1,3,2,0
44,0.003657269,other,M,0,79373,1,1,3,0
19,0.005287918,iPhone,M,0,56845,2,3,1,0
59,0.006390501,iPhone,F,1,86103,2,1,7,0
19,0.005131586,laptop,F,0,41571,2,3,0,0
58,0.00395646,other,M,1,77653,2,3,4,0
50,0.005062386,Android,F,1,53776,1,1,14,1
42,0.005342226,Android,F,0,47181,1,2,5,0
39,0.004992922,desktop,F,0,78647,1,3,6,0
20,0.00515702,other,F,0,39869,1,3,1,0
16,0.005075126,other,F,0,41993,1,1,0,0
51,0.003771562,other,M,1,71212,2,2,11,1
48,0.003792922,other,M,1,72294,1,2,6,0
18,0.003332411,desktop,M,0,37345,1,3,1,0
37,0.004627327,other,F,0,59122,1,2,10,0
47,0.003958316,Android,M,1,82818,1,2,4,0
50,0.004637492,desktop,F,0,77026,1,3,0,0
56,0.004933201,desktop,F,0,85885,1,1,16,0
55,0.003961339,desktop,M,1,91152,2,3,17,0
17,0.003277016,desktop,M,1,28748,2,3,0,1
22,0.004487325,laptop,F,0,45228,1,1,2,0
41,0.003709975,other,M,0,55801,2,2,3,0
21,0.003266115,other,M,0,52195,2,1,2,0
16,0.005079152,other,F,0,50613,2,1,0,0
30,0.004199312,Android,M,0,48374,2,3,1,0
52,0.005272254,desktop,F,0,61449,2,1,18,0
41,0.005087035,laptop,F,0,66503,1,2,9,0
50,0.003597686,desktop,M,1,53519,1,2,11,0
30,0.004790603,Android,F,0,59527,2,2,4,0
38,0.004178055,laptop,M,1,57357,1,2,1,0
20,0.003516678,other,,0,45534,1,2,0,0
22,0.004352507,other,F,0,28699,2,1,2,0
27,0.00482422,desktop,F,1,50194,2,2,0,0
54,0.004264844,Android,M,1,59550,1,2,12,0
51,0.003811131,other,M,0,68623,1,3,4,0
47,0.004954231,other,F,0,66644,1,1,13,0
20,0.003657862,other,M,1,32815,1,2,2,0
24,0.004680223,Android,F,1,45596,2,1,3,0
43,0.003607637,laptop,M,0,63590,2,2,7,0
41,0.0046903,laptop,F,1,65645,2,2,5,0
41,0.003436916,laptop,M,1,77051,1,1,2,0
45,0.003589179,desktop,M,0,77722,2,2,10,0
35,0.004340701,other,M,0,64430,1,2,1,0
46,0.00405382,laptop,M,1,81186,2,3,11,0
21,0.006693608,iPhone,F,0,57911,2,1,0,0
59,0.003812001,desktop,M,1,75956,2,2,3,1
49,0.004834967,other,F,0,58879,2,2,16,0
17,0.004518329,other,F,1,26284,2,1,0,0
37,0.004091994,Android,M,1,65715,2,1,1,0
44,0.00508797,desktop,F,1,66483,2,1,0,0
59,0.00492099,laptop,F,0,69494,1,3,17,0
43,0.006325582,iPhone,F,1,71320,2,1,10,0
55,0.003828345,other,M,0,68486,2,2,6,0
20,0.003313955,Android,M,0,49986,1,3,0,0
58,0.004167005,laptop,M,1,83725,2,3,19,0
38,0.00505211,Android,F,1,43554,1,2,9,1
36,0.004870825,desktop,F,0,45264,2,1,5,0
42,0.005113433,other,F,0,77217,2,3,7,0
57,0.00388458,other,M,0,69261,1,3,4,0
44,0.004403829,other,M,0,69162,1,2,3,0
48,0.003562671,other,M,1,58961,2,2,15,0
17,0.00395074,Android,M,0,28023,1,2,0,0
52,0.005343283,laptop,F,1,87593,1,3,8,0
39,0.005125989,laptop,F,0,45711,2,3,6,0
57,0.00400907,other,M,0,62700,1,2,11,0
23,0.003846151,laptop,,0,33877,2,1,3,0
29,0.004458377,laptop,F,0,64308,2,1,4,0
34,0.004258769,laptop,M,1,60974,2,3,2,0
33,0.006591474,iPhone,F,0,49223,1,3,5,0
59,0.003965172,laptop,,1,86146,1,2,8,0
20,0.004781956,Android,F,0,41449,2,2,1,0
21,0.004178129,desktop,M,1,35275,2,3,1,1
29,0.004420594,Android,F,1,66875,2,2,4,0
47,0.003594237,desktop,M,1,48067,1,3,14,0
26,0.004142148,other,M,1,34645,1,2,5,0
35,0.004014509,Android,M,0,59369,1,2,1,0
57,0.004273698,Android,M,0,62976,2,1,13,1
16,0.006339983,iPhone,F,0,50042,1,2,0,0
16,0.004230828,desktop,F,0,47306,2,3,0,0
40,0.003537129,desktop,M,0,59611,1,3,5,0
24,0.003962432,laptop,M,0,47015,1,1,3,0
56,0.006812446,iPhone,F,0,65175,2,2,3,0
53,0.004174621,Android,M,1,71151,2,2,7,0
31,0.004605542,Android,F,1,56673,1,3,3,0
19,0.004261012,desktop,F,0,57923,2,2,1,0
16,0.003706356,other,M,1,39947,1,2,0,0
27,0.003485743,laptop,M,1,44182,1,1,0,0
19,0.003272428,laptop,M,1,45363,2,3,1,0
50,0.005474313,Android,F,0,63316,1,2,16,0
25,0.00449448,Android,F,1,28794,1,2,1,0
43,0.005137901,Android,F,0,43830,1,2,1,0
60,0.004766963,Android,F,0,76990,2,1,16,0
24,0.004763854,desktop,F,1,41824,1,3,3,0
32,0.00517936,laptop,F,0,64742,2,2,0,0
26,0.003488404,desktop,M,1,33558,2,1,5,1
48,0.005362979,iPhone,M,0,71853,1,1,15,0
25,0.005665855,iPhone,M,0,52279,2,1,1,1
36,0.003539344,desktop,M,1,39451,2,1,10,0
49,0.003576386,other,M,0,70449,1,2,9,0
45,0.004189576,Android,M,0,64917,1,2,12,0
31,0.004816378,iPhone,M,1,40867,2,2,3,0
42,0.005269006,desktop,F,0,66659,2,1,0,0
35,0.005061652,other,F,0,44330,1,1,0,0
21,0.004790771,Android,F,0,26564,2,1,2,0
48,0.005142444,desktop,F,0,76507,2,3,1,0
24,0.004692758,Android,F,0,44844,2,2,2,0
30,0.003464375,laptop,M,0,36924,1,1,2,0
45,0.003901917,laptop,M,1,58607,1,2,12,0
45,0.00599033,iPhone,F,1,84538,1,1,13,0
36,0.005037183,Android,F,0,39208,1,1,8,0
32,0.004414725,other,F,0,48374,2,1,8,0
22,0.004043673,desktop,M,0,34984,1,1,1,0
39,0.005292496,desktop,F,0,51959,2,3,1,0
44,0.003607989,desktop,M,0,47318,2,1,7,0
52,0.004692807,other,F,1,79961,2,3,12,0
29,0.004937278,other,F,0,45107,2,2,0,0
47,0.004607236,desktop,F,1,72101,2,3,8,0
28,0.004061435,other,M,0,63685,1,3,3,0
38,0.00609902,iPhone,F,1,77132,2,2,5,0
33,0.003577857,laptop,M,0,39562,2,2,2,0
31,0.005745206,iPhone,M,1,54252,1,3,6,0
27,0.005217559,Android,F,0,50047,2,1,0,1
52,0.004010436,other,M,0,63505,1,3,9,0
21,0.004541734,desktop,F,0,21044,1,1,1,0
55,0.005197712,iPhone,M,0,56436,2,1,1,0
25,0.004351032,desktop,F,0,63405,2,3,3,0
35,0.003524203,other,,1,55793,1,1,7,0
51,0.004687708,other,F,1,59345,1,1,9,0
16,0.005299647,iPhone,M,1,30476,1,3,0,0
22,0.004387887,desktop,F,1,42939,2,1,2,0
21,0.004560481,Android,F,1,25442,1,2,0,0
22,0.003713082,other,M,0,49133,2,1,1,0
40,0.00405097,desktop,M,1,77883,2,3,12,0
59,0.003908717,desktop,M,0,60315,2,1,9,0
22,0.004161834,other,M,0,57851,1,2,0,0
21,0.004817318,desktop,F,1,31813,2,3,2,0
43,0.005127197,Android,F,0,69822,1,1,3,0
50,0.004892902,Android,F,1,53252,2,3,3,0
51,0.003804549,Android,M,1,56742,1,1,13,1
58,0.005557058,desktop,F,1,77124,1,1,5,0
46,0.005101866,other,F,0,51972,2,2,8,0
40,0.004663296,Android,F,0,42924,2,2,7,0
45,0.004535707,laptop,F,1,51337,2,1,2,1
38,0.004798632,laptop,F,1,72247,1,3,6,0
50,0.005402777,other,F,1,75873,1,3,2,0
18,0.004806186,iPhone,M,0,30630,2,1,0,0
43,0.005187886,iPhone,,0,81997,2,3,2,0
20,0.003658157,laptop,M,0,54058,2,2,1,0
16,0.006222684,iPhone,F,1,22922,2,1,0,0
22,0.003792023,other,M,1,53823,2,3,3,0
46,0.004855793,other,F,0,48541,2,1,12,0
37,0.005187386,Android,F,0,59142,2,1,0,0
35,0.004324219,desktop,M,1,54692,2,2,2,1
44,0.004651391,laptop,F,1,72948,2,2,3,0
42,0.003485617,desktop,M,1,52418,2,3,12,0
48,0.00522949,iPhone,M,1,51776,1,1,6,0
45,0.004955126,Android,F,0,75423,1,2,13,0
56,0.006506103,iPhone,F,0,94931,1,3,15,0
46,0.004846566,Android,F,1,47798,1,2,9,0
26,0.006273281,iPhone,F,0,52837,1,1,5,0
59,0.00534239,iPhone,M,0,73664,1,2,0,0
35,0.004816698,Android,F,1,49300,2,2,4,0
59,0.004151457,desktop,M,1,83525,1,3,21,0
54,0.004180595,other,M,1,72119,1,2,10,0
33,0.006729687,iPhone,F,1,48748,2,3,8,0
54,0.006299426,iPhone,F,1,73372,2,3,15,0
42,0.003763167,laptop,M,1,54446,1,2,13,0
30,0.004481136,laptop,F,1,66585,2,3,2,0
22,0.004442254,laptop,F,1,27852,2,1,2,0
30,0.004151214,Android,M,1,60393,2,2,4,0
46,0.003989839,other,M,0,71013,1,3,3,0
42,0.006812845,iPhone,F,0,79316,1,1,6,0
45,0.004763414,desktop,F,0,56588,1,2,5,0
19,0.005475211,iPhone,M,0,51084,2,2,0,0
21,0.004593316,other,F,0,52286,2,3,1,0
18,0.003856748,desktop,M,0,19174,2,3,0,0
56,0.004063336,Android,M,0,81136,2,1,3,0
35,0.00394637,Android,M,0,69097,1,1,7,0
37,0.004534884,Android,F,1,49348,1,3,5,0
41,0.006499693,iPhone,F,0,42436,1,1,11,0
26,0.003883135,other,,0,61044,1,2,2,0
54,0.004984314,desktop,F,0,81313,1,3,3,0
23,0.005150871,iPhone,,1,42733,1,2,0,0
22,0.003334013,other,M,1,40527,1,3,0,0
22,0.004923437,Android,F,1,45456,1,1,1,0
34,0.004842738,iPhone,M,0,49368,2,1,5,0
58,0.006803564,iPhone,F,0,62918,2,1,16,0
22,0.00327008,other,M,1,52426,1,3,2,0
27,0.004364998,Android,F,0,34595,2,2,5,1
18,0.004058476,Android,M,0,35583,1,1,1,1
21,0.004481833,desktop,F,1,50919,1,2,1,1
40,0.004381569,desktop,M,1,43843,1,2,11,0
26,0.004039164,laptop,M,0,50887,2,2,1,0
55,0.004990688,other,F,0,81953,1,3,3,0
20,0.004923774,desktop,F,1,57791,2,3,2,0
30,0.004963711,other,F,1,52659,1,3,7,0
57,0.004421871,desktop,M,1,87755,1,1,16,0
26,0.006266929,iPhone,F,0,29299,2,2,2,0
51,0.004958099,desktop,F,1,88554,1,2,14,0
47,0.004882339,other,F,1,73439,1,2,3,0
51,0.005460355,laptop,F,0,80898,2,1,6,0
39,0.004863134,Android,F,0,78318,2,1,9,0
58,0.003582197,desktop,M,1,72532,2,3,21,0
38,0.003520449,desktop,M,1,70271,2,3,2,0
42,0.00613559,iPhone,F,0,67748,1,2,13,0
28,0.003403219,desktop,,1,66588,2,1,6,0
44,0.003993226,other,M,1,47183,1,3,8,0
43,0.004533554,laptop,F,1,51413,1,3,11,0
58,0.00397787,other,M,1,75930,2,3,7,0
37,0.005168913,iPhone,M,1,70573,1,2,9,0
60,0.006786611,iPhone,F,1,79043,1,3,19,0
59,0.004300353,laptop,M,0,80127,1,3,20,0
38,0.00390273,laptop,M,1,38836,2,3,6,0
17,0.004153532,desktop,M,1,27547,1,1,0,1
59,0.004948682,Android,F,1,61117,1,1,17,0
44,0.004224307,laptop,M,0,77483,1,3,3,0
60,0.004565833,other,M,1,80490,1,3,13,0
19,0.006601486,iPhone,F,0,33781,2,3,1,0
57,0.006053453,iPhone,M,1,68627,1,3,14,0
20,0.003756599,other,M,0,38291,1,1,1,0
24,0.004279941,desktop,F,0,34145,2,3,3,0
36,0.003432881,other,M,0,59467,2,3,8,0
36,0.003897036,laptop,M,0,71591,1,1,6,0
21,0.004428445,Android,F,1,40239,1,1,1,0
55,0.004454496,desktop,M,1,70751,1,3,14,0
55,0.005090237,other,F,0,71815,2,1,12,0
34,0.003383852,laptop,M,0,65903,2,3,7,0
57,0.003577331,desktop,M,0,91944,1,2,17,0
20,0.004028749,other,M,0,55242,1,3,0,0
43,0.004467886,desktop,F,0,64739,1,3,11,0
20,0.004110987,laptop,M,0,34918,2,1,2,0
42,0.004093299,other,M,1,67526,2,2,0,0
50,0.004428048,laptop,M,0,73442,1,3,2,0
22,0.004601414,laptop,F,1,50683,2,3,2,0
58,0.00437677,laptop,M,0,83624,1,2,4,0
50,0.005374767,Android,F,1,86275,1,3,0,0
25,0.003797525,laptop,M,0,60202,1,1,3,0
21,0.004852455,iPhone,M,1,54590,2,1,2,0
27,0.006622251,iPhone,F,0,64178,2,3,1,0
51,0.003707418,Android,M,1,57435,1,3,8,0
53,0.006649516,iPhone,F,1,71686,2,2,3,0
28,0.004973458,Android,F,1,48032,2,2,5,0
25,0.00553566,iPhone,M,1,41133,2,2,2,0
57,0.006515358,iPhone,F,1,87333,2,2,15,0
35,0.005708714,iPhone,M,1,53390,1,3,1,0
24,0.005052642,desktop,F,0,26044,1,2,4,0
53,0.005423986,desktop,F,1,88616,1,3,8,0
50,0.005233227,Android,F,1,88640,1,3,7,0
34,0.005002678,other,F,0,34694,1,2,8,0
55,0.004498712,other,M,0,92116,1,3,5,0
58,0.00381175,Android,M,0,89958,2,3,7,0
32,0.006289674,iPhone,F,1,57434,1,1,5,0
45,0.005284872,desktop,F,0,62923,2,1,10,0
32,0.004571586,Android,F,0,65860,2,2,1,0
30,0.004182034,other,M,1,62888,2,2,0,0
44,0.004626906,laptop,F,0,53846,1,1,3,0
39,0.004871517,other,F,0,46427,1,3,11,0
46,0.004587885,other,F,1,48827,1,1,7,0
53,0.00478826,laptop,F,0,63901,1,1,1,0
27,0.004876526,Android,F,1,56438,1,3,1,0
46,0.004280453,other,M,1,84184,1,1,4,0
27,0.003499814,other,M,1,31511,2,1,4,0
